序号,出现次数,时间戳,时间,价格,买卖方向,上笔价格,涨跌幅
1,1,1698112425345,2023-10-24 09:53:45,0.04,S,0.041,-0.0244
2,1,1698112556177,2023-10-24 09:55:56,0.04,S,0.041,-0.0244
3,1,1698112626972,2023-10-24 09:57:06,0.04,S,0.041,-0.0244
4,1,1698112693725,2023-10-24 09:58:13,0.039,S,0.04,-0.025
5,1,1698112862289,2023-10-24 10:01:02,0.039,S,0.04,-0.025
6,1,1698112922839,2023-10-24 10:02:02,0.039,S,0.04,-0.025
7,1,1698113011687,2023-10-24 10:03:31,0.039,S,0.04,-0.025
8,1,1698113092228,2023-10-24 10:04:52,0.039,S,0.04,-0.025
9,1,1698113433582,2023-10-24 10:10:33,0.04,S,0.041,-0.0244
10,1,1698113571200,2023-10-24 10:12:51,0.04,S,0.041,-0.0244
11,1,1698114026720,2023-10-24 10:20:26,0.04,S,0.041,-0.0244
12,1,1698114183879,2023-10-24 10:23:03,0.04,S,0.041,-0.0244
13,1,1698114486384,2023-10-24 10:28:06,0.04,S,0.041,-0.0244
14,1,1698114641668,2023-10-24 10:30:41,0.04,S,0.041,-0.0244
15,1,1698115123644,2023-10-24 10:38:43,0.04,S,0.041,-0.0244
16,1,1698115223204,2023-10-24 10:40:23,0.04,S,0.041,-0.0244
17,1,1698115321147,2023-10-24 10:42:01,0.04,S,0.041,-0.0244
18,1,1698115397194,2023-10-24 10:43:17,0.04,S,0.041,-0.0244
19,1,1698115667385,2023-10-24 10:47:47,0.04,S,0.041,-0.0244
20,1,1698115735980,2023-10-24 10:48:55,0.04,S,0.041,-0.0244
21,1,1698116017438,2023-10-24 10:53:37,0.04,S,0.041,-0.0244
22,1,1698116373078,2023-10-24 10:59:33,0.04,S,0.041,-0.0244
23,1,1698116653077,2023-10-24 11:04:13,0.04,S,0.041,-0.0244
24,1,1698116953133,2023-10-24 11:09:13,0.04,S,0.041,-0.0244
25,1,1698118476634,2023-10-24 11:34:36,0.04,S,0.041,-0.0244
26,1,1698119373486,2023-10-24 11:49:33,0.04,S,0.041,-0.0244
27,1,1698119727476,2023-10-24 11:55:27,0.04,S,0.041,-0.0244
28,1,1698124382111,2023-10-24 13:13:02,0.04,S,0.041,-0.0244
29,1,1698124698246,2023-10-24 13:18:18,0.04,S,0.041,-0.0244
30,1,1698125140914,2023-10-24 13:25:40,0.04,S,0.041,-0.0244
31,1,1698125283731,2023-10-24 13:28:03,0.04,S,0.041,-0.0244
32,1,1698125366405,2023-10-24 13:29:26,0.04,S,0.041,-0.0244
33,1,1698125680494,2023-10-24 13:34:40,0.04,S,0.041,-0.0244
34,1,1698125884725,2023-10-24 13:38:04,0.04,S,0.041,-0.0244
35,1,1698126060359,2023-10-24 13:41:00,0.04,S,0.041,-0.0244
36,1,1698126171733,2023-10-24 13:42:51,0.04,S,0.041,-0.0244
37,1,1698126302327,2023-10-24 13:45:02,0.04,S,0.041,-0.0244
38,1,1698126400339,2023-10-24 13:46:40,0.04,S,0.041,-0.0244
39,1,1698126503832,2023-10-24 13:48:23,0.04,S,0.041,-0.0244
40,1,1698126700342,2023-10-24 13:51:40,0.04,S,0.041,-0.0244
41,1,1698126844886,2023-10-24 13:54:04,0.04,S,0.041,-0.0244
42,1,1698127064003,2023-10-24 13:57:44,0.04,S,0.041,-0.0244
43,1,1698127405752,2023-10-24 14:03:25,0.04,S,0.041,-0.0244
44,1,1698127660319,2023-10-24 14:07:40,0.04,S,0.041,-0.0244
45,1,1698127800727,2023-10-24 14:10:00,0.04,S,0.041,-0.0244
46,1,1698127929296,2023-10-24 14:12:09,0.04,S,0.041,-0.0244
47,1,1698128016773,2023-10-24 14:13:36,0.04,S,0.041,-0.0244
48,1,1698128180307,2023-10-24 14:16:20,0.04,S,0.041,-0.0244
49,1,1698128680311,2023-10-24 14:24:40,0.04,S,0.041,-0.0244
50,1,1698129399567,2023-10-24 14:36:39,0.04,S,0.041,-0.0244
51,1,1698129470578,2023-10-24 14:37:50,0.04,S,0.041,-0.0244
52,1,1698129590847,2023-10-24 14:39:50,0.039,S,0.04,-0.025
53,1,1698129910492,2023-10-24 14:45:10,0.039,S,0.04,-0.025
54,1,1698130916894,2023-10-24 15:01:56,0.04,S,0.041,-0.0244
55,1,1698131109059,2023-10-24 15:05:09,0.039,S,0.04,-0.025
56,1,1698131182984,2023-10-24 15:06:22,0.039,S,0.04,-0.025
57,1,1698131472630,2023-10-24 15:11:12,0.039,S,0.04,-0.025
58,1,1698132271284,2023-10-24 15:24:31,0.039,S,0.04,-0.025
59,1,1698132526235,2023-10-24 15:28:46,0.039,S,0.04,-0.025
60,1,1698132983728,2023-10-24 15:36:23,0.039,S,0.04,-0.025
61,1,1698133085717,2023-10-24 15:38:05,0.039,S,0.04,-0.025
62,1,1698133706321,2023-10-24 15:48:26,0.04,S,0.041,-0.0244
63,1,1698134314315,2023-10-24 15:58:34,0.039,S,0.04,-0.025
64,1,1698134384531,2023-10-24 15:59:44,0.039,S,0.04,-0.025
